City,Avg_AQI
Ahmedabad,452.12293853073464
Delhi,259.48774387193595
Patna,240.7820424948595
Gurugram,225.12388162422573
Lucknow,217.973058637084
Talcher,172.88681948424068
Jorapokhar,159.25162127107652
Brajrajnagar,150.2805049088359
Kolkata,140.56631299734747
Guwahati,140.11111111111111
Jaipur,133.67915904936015
Bhopal,132.8273381294964
Amritsar,119.92095914742451
Visakhapatnam,117.26985482493595
Chennai,114.50265392781316
Hyderabad,109.20744680851064
Mumbai,105.35225806451614
Kochi,104.28481012658227
Chandigarh,96.49832775919732
Amaravati,95.29964328180738
Bengaluru,94.31832460732984
Ernakulam,92.359477124183
Thiruvananthapuram,75.87832699619771
Coimbatore,73.02325581395348
Shillong,53.795121951219514
Aizawl,34.765765765765764
